group	key	中文名	身份/品种	中文描述	关键词
人物	albert	阿尔伯特二世	商人	3.5头身Q版，粉红色蓬松美式卷发，透明护目镜，黄色工装连体服，棕色渔夫帽	商人、粉红色卷发、护目镜、黄色工装连体服、渔夫帽、商会徽章
人物	atara	阿塔拉	北欧少年	3.5头身Q版，北欧感少年，黑色利落小马尾，浅蓝色制服夹克，白色高腰直筒西裤，金色项饰	北欧少年、小马尾、浅蓝色夹克、白色西裤、金色项饰、白色手套
人物	aiai	皑皑	少女	3.5头身Q版，黑色外翻短碎发，浅灰紫色长发小揪揪马尾，紫粉色眼睛，黑色露脐吊带，深灰色工装裤	少女、黑紫撞色、短碎发、露脐吊带、工装裤、紫粉色眼睛
人物	eric	艾瑞克	北欧男性	3.5头身Q版，粉色蓬松短发，深红色圆框眼镜，中蓝色牛仔夹克，白色礼帽	北欧、粉色短发、圆框眼镜、牛仔夹克、白色礼帽、条纹长裤
人物	andrew	安德鲁	机车男	3.5头身Q版，黑色复古机车头盔，银色护目镜，黑色机车皮夹克，深灰色工装裤	机车、头盔、护目镜、皮夹克、工装裤、厚底靴
人物	annie	安妮	少女	3.5头身Q版，粉白兔耳发箍（蓝色蝴蝶结），亮粉红色大眼睛，浅蓝色协会马甲，白色衬衫	少女、兔耳发箍、蓝色蝴蝶结、浅蓝色马甲、白色衬衫、兔子小包
人物	belly	贝莉	贝莉	3.5头身Q版，亮黄色大眼睛带雀斑，橄榄绿色套装，棕色皮带，黄色高帮鞋，坐在轮椅上	雀斑、亮黄色眼睛、橄榄绿套装、棕色皮带、黄色高帮鞋、轮椅
人物	bill	比尔	比尔	3.5头身Q版，白色短发，大白胡子，红色冷帽，黄色框太阳镜，红蓝白条纹衬衫	白胡子、红色冷帽、太阳镜、条纹衬衫、宝蓝色短裤
人物	boshu	波叔		3.5头身Q版，白色浓密蓬松头发，白色络腮胡，小圆框眼镜，蓝白格子衬衫，棕色皮质背带	白色蓬松头发、络腮胡、小圆框眼镜、蓝白格子衬衫、棕色皮质背带
人物	blank	布兰克	布兰克	3.5头身Q版，金发虎纹挑染，长刘海遮眼，圆虎耳，浅蓝色条纹衬衫，深棕色园艺围裙	虎纹挑染、遮眼刘海、虎耳、园艺围裙、黄玫瑰、猫爪标志
人物	dorothy	多萝西	多萝西	3.5头身Q版，金色法式短卷发，白色头巾，黑色天鹅耳坠，珍珠项链，黑色无袖上装，棕黑格纹喇叭裤	法式短卷发、白色头巾、泪痣、珍珠项链、蝴蝶结、理发剪
人物	funny	弗妮	弗妮	3.5头身Q版，橘红色中长卷发，白色草帽，淡蓝色针织开衫，白色连体长裙	橘红色卷发、白色草帽、针织开衫、白色长裙、黑色皮鞋
人物	harry	哈瑞	哈瑞	3.5头身Q版，棕橘渐变色脏辫，深褐色皮肤，白色T恤，亮橙色运动短裤，黑色人字拖	脏辫、深褐色皮肤、橙色短裤、白色T恤、人字拖
人物	kaqing	卡清	卡清	3.5头身Q版，紫色齐肩直发，深蓝色金边头巾，红框圆眼镜，姜黄色工装背带裤	紫色直发、金边头巾、红框眼镜、工装背带裤、洞洞鞋
人物	kathy	凯茜	凯茜	3.5头身Q版，浅金色双马尾，橄榄绿贝雷帽，猫须面纹，卡其色制服套装	双马尾、贝雷帽、猫须面纹、卡其色制服、橄榄绿
